Delta Energy,Theta Energy,Alpha Energy,Beta Energy,Delta Relative Power,Theta Relative Power,Alpha Relative Power,Beta Relative Power,Beta-Theta Ratio,Slow-Fast Ratio,Beta-Delta Theta Ratio,Spectral Slope,Entropy,SEF95,Hjorth Mobility,Hjorth Complexity,Mean,Standard Deviation,Variance,Alpha-Beta Ratio,Delta-Theta Ratio,Delta-Alpha Ratio,Delta-Beta Ratio,Theta-Alpha Ratio,Theta-Beta Ratio,Peak Frequency,Spectral Centroid,label
0.444582124,0.505769888,0.15992651,1.823249023,0.151552054,0.172410138,0.054516792,0.621521017,3.604898325,0.243840594,1.918498618,-6.892577687,3.082861843,28,0.137067443,2.07588433,0.561097003,2.522321217,6.362104323,0.087715122,0.879020548,2.779915126,0.243840594,3.162514382,0.277400334,25,14.76966739,1
4.235895965,1.778208526,0.969898053,0.90429158,0.536985044,0.22542371,0.122954093,0.114637153,0.508540797,4.684214756,0.150361801,-7.090246279,2.461399531,19,0.127210315,2.143588167,-0.307238278,2.951658276,8.712286576,1.072550131,2.382114304,4.367362067,4.684214756,1.833397356,1.966410574,3,5.385187835,1
2.728233994,0.567646926,0.65516188,2.163539375,0.44618486,0.092834949,0.107147449,0.353832742,3.811417405,1.261005011,0.656437362,-7.062527794,2.466841621,25,0.12047104,2.261469337,0.429652071,3.212323685,10.31902346,0.302819485,4.806216446,4.164213575,1.261005011,0.866422397,0.262369584,1,7.021371583,1
1.786845202,0.12124392,0.77655084,1.651842926,0.412049407,0.027959045,0.179073885,0.380917663,13.62412997,1.081728277,0.865705331,-6.977519175,2.67227827,27,0.172134519,1.670923808,0.191324587,2.322811762,5.395454483,0.470111793,14.73760664,2.301002214,1.081728277,0.156131336,0.073399182,1,9.420242176,1
0.148200229,0.543717966,0.351273413,1.251230296,0.064591533,0.236973838,0.153098875,0.545335753,2.301248764,0.118443606,1.808350043,-6.926586138,3.213688936,31,0.197419429,1.487918307,-0.336206371,2.016141716,4.064827417,0.280742413,0.272568203,0.421894238,0.118443606,1.54784833,0.434546675,8,13.78421773,1
0.400174773,0.425699081,0.405012297,2.233038225,0.115526417,0.122895027,0.116922962,0.644655594,5.24557915,0.179206414,2.703849036,-6.862623175,2.902360748,26,0.171075743,1.721954851,0.145687611,2.14048529,4.581677275,0.181372756,0.94004143,0.988055858,0.179206414,1.051076928,0.190636719,1,13.5199108,1
2.411137995,0.287246809,0.175511326,1.402996522,0.563759297,0.067162501,0.041037113,0.328041089,4.88428933,1.718563059,0.51993938,-6.94400669,2.557582222,26,0.170958381,1.686272415,-0.105245318,2.151924184,4.630777696,0.125097477,8.393959209,13.73779149,1.718563059,1.636628336,0.204738076,2,7.966061102,1
0.31791346,0.528222874,0.282750983,1.471900705,0.12223736,0.203101087,0.108717427,0.565944126,2.786514515,0.215988388,1.739555016,-6.926999352,3.154955495,28,0.190382166,1.500902607,-0.110345521,1.976489576,3.906511043,0.192099224,0.601854778,1.124358461,0.215988388,1.868155745,0.358871269,15,12.94536665,1
1.311313261,0.168651657,0.720179542,2.68419932,0.268472761,0.034529031,0.14744653,0.549551678,15.91564155,0.488530509,1.813691181,-7.073385736,3.055225829,25,0.181579531,1.494659938,-0.031729311,1.945196171,3.783788145,0.268303302,7.775276471,1.820814374,0.488530509,0.234180017,0.062831272,2,11.3747323,1
1.804203344,1.216231904,0.568016936,2.010133315,0.322260568,0.217239141,0.101457223,0.359043068,1.652754962,0.897554073,0.665511143,-7.120930091,2.824690264,25,0.110417836,2.388760882,0.572395827,3.508293035,12.30812002,0.282576748,1.483436948,3.176319631,0.897554073,2.141189509,0.605050369,1,7.957880267,1
6.421362937,2.220345755,0.579759057,0.96538366,0.630357966,0.217961926,0.056912488,0.09476762,0.434789788,6.651617593,0.111712127,-7.107376348,2.222701037,20,0.110517333,2.551134431,-0.234696665,3.704117364,13.72048545,0.600547825,2.892055402,11.07591655,6.651617593,3.829773296,2.299962023,2,4.584331769,1
1.631027415,0.579980906,0.488778441,1.512001252,0.387252969,0.137704202,0.116050105,0.358992724,2.606984533,1.078720942,0.683851453,-6.971487875,2.759890293,27,0.16907796,1.749072477,-0.394305914,2.317246133,5.369629641,0.323265897,2.812208811,3.33694631,1.078720942,1.186592652,0.383584938,1,9.290549391,1
0.167472657,0.618016656,0.366486301,3.066898403,0.039696056,0.146488531,0.086868273,0.72694714,4.962485026,0.054606523,3.904443192,-6.992501747,3.166294471,28,0.198335828,1.435024425,0.274581287,2.211054482,4.888761921,0.119497373,0.270984051,0.456968397,0.054606523,1.686329489,0.201511943,22,16.12265758,1
1.312227886,1.344662171,1.841849936,1.458056283,0.220290879,0.2257358,0.309201432,0.24477189,1.084329071,0.899984384,0.54878307,-7.166853379,2.948584341,25,0.143705555,1.978357649,0.429165306,3.044332298,9.267959141,1.263222797,0.975879232,0.712451031,0.899984384,0.730060655,0.922229263,1,8.069964436,1
4.649973102,2.546531786,0.178681557,2.560184479,0.468022094,0.256309684,0.017984387,0.257683835,1.005361289,1.816264859,0.355753872,-7.256664552,2.428738823,26,0.119795342,2.466805869,-0.302628117,3.828975591,14.66105408,0.069792454,1.82600238,26.02379996,1.816264859,14.25178863,0.994667301,1,5.917843849,1
5.405778263,1.018603193,0.337858053,2.045131041,0.613778906,0.115653496,0.038360831,0.232206767,2.007779923,2.643242977,0.31833898,-7.131118761,2.282905489,24,0.141598938,2.041322956,-0.581948294,3.161846497,9.997273269,0.165201176,5.307050182,16.00014625,2.643242977,3.01488505,0.498062556,1,5.868246721,1
0.564306946,0.96555968,0.475829361,1.784399957,0.148889884,0.254758638,0.125545466,0.470806012,1.848047297,0.316244653,1.166376158,-6.9529284,2.938578648,28,0.179570267,1.498267523,0.443309905,2.149507789,4.620383733,0.266660711,0.584435077,1.185943936,0.316244653,2.029214166,0.541111692,4,11.1429623,1
0.730177798,0.324764663,0.546985181,1.479678147,0.236947179,0.105388127,0.17750005,0.480164644,4.55615501,0.493470691,1.402615026,-6.852976083,2.878633597,23,0.119516921,2.121833708,0.343013128,3.057087994,9.345787004,0.369664972,2.248328962,1.334913308,0.493470691,0.593735761,0.219483314,1,8.743494808,1
7.86676727,2.168443298,0.694745699,0.731266325,0.686381161,0.189198254,0.060617067,0.063803518,0.337231011,10.75773217,0.072870053,-6.846665717,2.172650002,11,0.08876591,2.705541745,-0.030729989,3.057444732,9.347968292,0.950058378,3.627840892,11.32323278,10.75773217,3.121204351,2.965326344,2,3.474505072,1
2.773273039,2.748817129,0.631521928,1.00142295,0.387597408,0.384179408,0.08826259,0.139960593,0.364310503,2.769332418,0.181348533,-6.915756141,2.266921786,21,0.097218899,2.51499306,-0.519039884,3.18309954,10.13212268,0.630624581,1.008896885,4.391412106,2.769332418,4.352686752,2.744911257,4,5.578725543,1
2.828219329,0.531760077,1.136816621,1.033187756,0.511433566,0.096159428,0.205573229,0.186833777,1.94295849,2.737372092,0.307498241,-6.877788471,2.3846487,24,0.100998703,2.480494824,0.061381689,3.310613131,10.96015931,1.100300129,5.318600346,2.487841289,2.737372092,0.467762405,0.514679035,1,6.246859292,1
3.222591356,3.30658213,0.903559926,1.66266911,0.354309922,0.363544343,0.099342489,0.182803247,0.502836175,1.938203661,0.25465231,-7.154878254,2.617200613,21,0.110383876,2.202075862,0.153020439,3.222922807,10.38723142,0.543439414,0.974598915,3.56654967,1.938203661,3.65950507,1.988719289,2,6.85281843,1
3.439520367,0.846341424,1.227424834,1.752765239,0.473368541,0.116478858,0.168925967,0.241226635,2.070990725,1.962339446,0.40896448,-7.111322071,2.574323258,20,0.119818126,1.998728533,-0.114043383,3.285210505,10.79260806,0.700279083,4.063986791,2.802224847,1.962339446,0.689526072,0.482860685,2,7.173544151,1
0.702524017,0.906122749,0.402980373,1.706662555,0.188937408,0.243693425,0.108377885,0.458991282,1.883478322,0.411636158,1.060930585,-7.039465412,3.103246322,28,0.129131196,2.032055794,0.559388906,2.887607492,8.338277028,0.236121881,0.77530778,1.743320677,0.411636158,2.248553054,0.530932577,1,10.09236283,1
5.35775884,3.740973787,2.03655145,1.138675105,0.436514311,0.304789492,0.165924574,0.092771622,0.304379333,4.705256852,0.125146562,-7.180659536,2.335599273,16,0.102830959,2.510108741,0.025276382,3.585057276,12.85263567,1.788527247,1.432182941,2.630799649,4.705256852,1.836915923,3.285374178,2,5.439780126,1
3.128938885,1.372560569,0.363707429,3.37895762,0.379533776,0.166488741,0.044116954,0.409860528,2.461791266,0.926007141,0.750629352,-7.305041082,2.885061057,28,0.156892883,1.864173189,-0.296437612,3.277017336,10.73884262,0.107638944,2.279636291,8.602900671,0.926007141,3.773804051,0.406208282,3,8.871854037,1
0.268166402,0.699895257,0.6573587,2.803391791,0.060550412,0.158032274,0.148427767,0.632989546,4.005444765,0.09565784,2.89588144,-7.015138033,3.108666608,30,0.226574417,1.356779382,0.060003285,2.539203823,6.447556053,0.234486917,0.383152193,0.407945316,0.09565784,1.064708289,0.249660165,26,17.44312895,1
